name,link,actual_price,old_price,id,brand
"METRO Chef Сыр Маасдам полутвердый нарезка 45%, 150г",/products/150g-45-maasdam-metro-chef-narezka-bzmzh,205,,150g-45-maasdam-metro-chef-narezka-bzmzh,METRO CHEF
"Сыр La Paulina Чеддер полутвердый 48%, 180г",/products/180g-syr-chedder-48-la-paulina-bzmzh,229,282,180g-syr-chedder-48-la-paulina-bzmzh,LA PAULINA
"METRO Chef Сыр российский с топленым молоком сливочный 45%, ~1кг",/products/1kg-syr-rossiyskiy-45-metro-chef-topl-moloko-sliv-bzmzh,749,969,1kg-syr-rossiyskiy-45-metro-chef-topl-moloko-sliv-bzmzh,METRO CHEF
"Сыр Ларец с грецкими орехами нарезка 45%, 125г",/products/125g-syr-45-larets-s-gretskimi-orehami-narezka-bzmzh,229,,125g-syr-45-larets-s-gretskimi-orehami-narezka-bzmzh,ЛАРЕЦ
"Сыр Ламбер Сливочный полутвердый 55%, ~1кг",/products/lamber-slivochnyj-55-1kg-bzmzh,1419,,lamber-slivochnyj-55-1kg-bzmzh,ЛАМБЕР
"Сыр Брест-Литовск Голландский полутвердый 45%, 200г",/products/syr-gollandskiy-brest-litovsk-kusok-45-200g,193,,syr-gollandskiy-brest-litovsk-kusok-45-200g,БРЕСТ-ЛИТОВСК
"Сыр Брест-Литовск сливочный полутвердый 50%, 150г",/products/syr-brest-litovsk-slivochnyy-polutverdyy-50-150g,189,,syr-brest-litovsk-slivochnyy-polutverdyy-50-150g,БРЕСТ-ЛИТОВСК
"Сыр Viola Голландский полутвердый 45%, 350г",/products/350g-syr-45-viola-gollandskiy-kusok-bzmzh,419,,350g-syr-45-viola-gollandskiy-kusok-bzmzh,VIOLA
"Сыр Hochland Grunlander Тильзитер полутвердый нарезка 45%, 130г",/products/130g-syr-tilziter-45-grunlander-hochland-nar-bzmzh,159,173,130g-syr-tilziter-45-grunlander-hochland-nar-bzmzh,HOCHLAND
"Сыр Тильзитер Oldenburger 45%, ~3кг",/products/3kg-syr-tilziter-45-oldenburger-bzmzh,739,949,3kg-syr-tilziter-45-oldenburger-bzmzh,OLDENBURGER
"Сыр Ларец Вяленые томаты-орегано 45%, ~1кг",/products/1kg-syr-45-larets-vyalenye-tomatyoregano-bzmzh,1269,,1kg-syr-45-larets-vyalenye-tomatyoregano-bzmzh,ЛАРЕЦ
